restaurant,rating,review,sentiment
Zoma Express,5.0,What a lovely new gem in the neighborhood. Zoma is small but that’s exactly what makes it extra cozy. Vegan combo platter was phenomenal and filled with flavor! Service is friendly and quick without rushing you out at the end of a meal …,positive
Zoma Express,5.0,"I had an absolutely wonderful experience at Zoma Express! The food was incredibly flavorful—each dish was rich, aromatic, and beautifully prepared. But what made the visit truly special was the hospitality. The host welcomed us with such …",positive
Zoma Express,5.0,"Super good! I didn’t go to this restaurant before it temporarily closed during covid, but apparently they were on the Michelin Guide. …",positive
Zoma Express,5.0,Really fresh and flavorful Ethiopian food! I remember the old Zoma location that closed during COVID so I was glad to see they reopened. We got the Zoma Tibs and Kitfo as well as lots of vegetarian sides. It was perfect for us as a group and the sambusas were freshly made!,positive
Zoma Express,5.0,"Incredible food, and the kindest owner!! We tried a wide variety of their offerings and it was the best Ethiopian food we have all ever had",positive
Zoma Express,5.0,Excellent. So happy to find Zoma opened a few blocks from me.  I used to walk to it in Harlem. I had given up Ethiopian food because none of the restaurants nearby is good. Had an excellent meal. Owner and the chef are really nice. Space is …,positive
Zoma Express,5.0,Awesome food that’s also really healthy! The owner was so friendly and welcoming. Absolutely loved the experience and will definitely be coming back,positive
Zoma Express,5.0,"The food was amazing, and the owner was so friendly. All the food was flavorful and authentic. I also enjoyed the cozy atmosphere. Definitely coming back and excited for this to be in my neighborhood.",positive
Zoma Express,5.0,"Just got back from dinner at Zoma and let me tell you the reviews didn’t lie. The food is simply amazing and the atmosphere of the place is so cosy. The owners are very welcoming and friendly, will definitely be coming back soon!!",positive
Zoma Express,5.0,"The food was amazing and service is top tier! Fitsum was great, he treated us so good he even gave us extra food to try for free. Highly recommend!",positive
Zoma Express,5.0,"My girlfriend and I came here the other night, and it genuinely blew us away. We’ve tried a lot of Ethiopian food all over NYC, but this place is on another level. The injera was perfect, the tibs were incredible, and the Kategna was …",positive
